SiteCode	Site	Day	Month
Ste1	T005	13	4
Sem	T008	31	5
ReiL	T035	14	4
Hina	T052	15	4
Ber	T061	6	5
Gan	T066	9	6
Sen	T073	19	4
Pfa	T083	22	4
Sib3	T094	15	6
Bru8	T103	3	5
ObeD	T118	20	5
Ror1	T124	21	4
Sam3	T127	2	6
BraN	T133	7	6
Mul	T141	5	5
Abs	T143	4	5
GeiL	T162	19	5
Pfu	T165	11	5
Bru6	T170	14	5
Unt	T218	28	4
